T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
94858,79094,8920,3577,1880,1417,87,97122,78749,11371,4359,2447,1007,217,78960,68084,5978,2352,1400,992,56,81129,69849,7090,2443,1441,225,19,2031,1246,23,19,47099,14395,31290,58259,20307,37147,57211,18348,37969,6337,26583,13974,6660,13765,4637,790,409
98875,76815,11708,4679,4605,1443,69,101728,77755,12112,6557,4782,539,94,78928,63433,7936,3079,3505,1006,37,77041,62525,6895,4248,3179,178,30,3687,2894,20,30,46854,15272,30171,56261,21210,34287,51409,17004,33602,4471,22971,13027,5410,16962,6453,1192,740
98588,81484,10062,3327,2258,1497,105,101357,81347,11639,4401,2408,1214,79,81141,69275,6870,2124,1666,1061,72,79783,70288,5659,2102,1381,303,23,1672,1017,48,23,50945,16449,32759,61390,23211,37303,57214,20117,36122,3821,22155,13696,6229,18879,7046,1225,604
100380,80080,10228,5602,3148,1329,99,102409,81088,11828,5601,3794,779,97,84487,69474,7201,4157,2483,1068,76,81654,68203,7169,3792,1979,260,10,3546,1825,0,10,51184,17374,32357,61793,23283,37732,57584,20080,36619,5240,28544,13828,7097,15406,6729,808,858
102770,83855,12527,3420,740,844,38,107029,88006,13088,3298,1005,1081,150,52810,40620,7868,2749,597,556,29,48733,42254,4471,1368,476,72,4,1195,295,53,4,18340,5261,12812,28222,5314,22808,29967,4295,25428,4405,13583,9196,2027,8257,4521,930,482
101416,79495,11767,4564,3952,1042,103,102156,79622,12769,5451,3745,944,10,70495,55369,7768,3319,2906,804,71,65142,53898,6062,3133,1775,179,19,2864,1556,17,19,38656,12488,24917,48164,17025,30522,44983,12515,31780,3456,16009,11615,4536,14448,6253,1539,787
99469,59972,14575,20529,3829,1596,110,99564,60554,14974,19483,3703,1570,325,82166,52585,10143,15736,2957,1175,84,75712,53196,6869,12877,2447,282,33,12120,2145,8,33,48153,26794,19777,56170,33690,21711,50635,28091,21387,5089,15558,13370,5193,21185,9542,2874,834
101487,64818,19787,8466,3811,1774,134,102341,70020,16000,8315,4647,2700,25,79307,52846,13471,6421,2933,1287,102,72569,57737,6303,5907,2349,139,5,5259,2065,9,5,43185,21153,20523,51094,27152,23261,45857,22038,22865,6085,14211,9734,4773,20414,10027,3029,1386
103948,79787,6813,11925,4135,1678,153,105202,79845,8351,12783,4005,1048,74,81560,64489,4340,8604,2986,1156,99,81357,65066,4847,8802,2344,198,0,7759,1832,5,0,50268,22474,26184,62416,28862,32680,60045,26266,32748,4658,22461,13903,6909,16919,6102,1276,556
98719,74112,7022,12451,4046,1544,120,100880,76560,6421,12418,5207,731,129,77523,59759,4827,9008,2946,1116,83,76198,61014,3592,8341,2840,290,33,7914,2555,9,33,43718,20782,21189,54505,27654,25965,52625,25387,26120,3778,17899,10236,5508,16851,6750,1592,1221
99627,71456,8300,14946,4099,1872,136,100872,71560,10698,15026,3778,1014,112,78198,58761,5173,10280,2932,1369,95,77242,59747,5715,9398,1987,337,39,8231,1718,62,39,45556,23614,20171,55733,30186,24695,52441,26927,24436,4854,24368,13246,6847,14388,5518,1197,690
102963,51504,15838,31918,3830,2209,155,103383,49934,17573,33942,4647,2295,195,80566,43586,10044,23586,2923,1613,117,75989,43572,7843,21737,2117,550,19,20659,1943,47,19,41721,25210,15214,50542,31449,18485,47882,28077,19072,7295,25199,15552,6480,12121,4466,689,368
99364,65963,9789,17245,5874,1728,142,99663,64919,11280,18257,6302,693,23,78316,54880,6187,12065,4374,1237,106,74443,53304,6016,11141,3602,301,0,10256,2947,33,0,43004,23692,17934,51802,29824,21310,49397,27067,21494,5320,23667,13590,6076,13720,4455,1174,388
97760,75605,7426,10126,3672,1452,135,98264,75749,7681,10275,3926,1260,128,77331,61392,4879,7521,2605,1062,102,75007,61339,4044,7000,1967,481,5,6418,1472,27,5,50579,31417,17012,59680,39599,19087,56623,36939,18485,3158,17258,12429,4621,19064,9134,2844,1553
96790,6824,48926,41065,4604,2456,388,96142,6356,48877,42392,4358,2844,387,70085,6121,33330,29437,3503,1739,275,60720,5671,25546,26559,2248,667,59,25726,2190,35,59,30224,27540,2263,30199,26092,3920,25526,20082,5163,16797,20477,10764,4053,4502,1894,350,135
97213,63653,7117,9040,16947,1105,151,98837,65330,7970,7676,16370,907,123,76747,52156,4732,6592,12683,728,88,72147,53440,4356,5418,8447,196,35,5035,8234,17,35,47994,30318,16118,57103,38028,18374,53355,33791,18364,4010,12924,9198,4750,21776,11009,4697,2225
97996,65474,11491,12773,7681,1667,169,100262,64203,14587,12290,9039,846,143,77408,54277,7638,9272,5560,1160,110,75948,53573,9004,7830,5088,300,0,7161,4730,17,0,46774,27086,17916,54935,33465,20742,48847,29001,18986,3917,18608,11314,5310,17466,8195,2628,1265
99275,42911,11795,39028,4207,2062,177,100269,42000,12487,42463,3706,2173,223,77874,35707,7983,29664,3249,1507,113,73967,34304,8749,27981,1852,543,0,25539,1437,37,0,44761,30992,12370,52404,37425,14355,45062,31231,13158,4810,21869,15185,6332,15251,5597,888,492
97494,71126,5886,9718,10063,1208,156,100270,71962,6446,10653,9739,1204,178,77884,58984,3884,7073,7225,847,122,77703,60211,4162,7517,5265,281,58,6977,4776,16,58,50630,27496,21342,61621,36252,24543,52718,30362,21501,2379,14683,11794,4896,23782,10085,2711,846
102067,74833,8725,13539,4042,1992,251,103397,75358,10095,12352,5359,1100,167,81008,60755,6054,10284,2900,1468,187,81069,62611,6084,8763,2763,364,6,7929,2195,24,6,47103,21778,23467,56544,27924,27744,50158,23897,25503,5786,20331,13119,6314,18502,7601,1843,797
101382,61527,9046,20811,9554,1620,175,102050,59535,9802,23070,10030,1022,234,79953,50480,6176,15685,6896,1182,120,75692,49497,5298,14885,5346,479,0,13853,4972,12,0,46624,24547,20372,55950,31790,23404,48598,26483,21189,4718,18083,14226,5156,17863,7890,1202,616
98146,79615,10023,3656,3661,1179,128,98527,78133,12302,4019,3018,824,200,78214,65307,6802,2372,2686,859,94,76086,64846,6657,2329,1841,259,17,1993,1402,0,17,48928,18189,28924,59496,25583,33005,55721,21816,32791,4037,20097,12260,5731,19722,7351,1208,637
100523,81964,6517,3627,7306,860,106,100512,82893,6483,3060,6443,1052,371,80475,67057,4426,2662,5469,608,85,78180,67808,4203,1914,3783,269,3,1479,3459,48,3,55357,21203,32302,66868,29268,36662,61904,24508,36025,1599,11231,10115,5167,25486,11844,3831,1998
102342,72970,14788,5218,8492,1191,119,102221,72382,16010,5372,7337,864,37,80348,59195,9996,4069,6336,873,85,74343,57690,8298,3518,4700,160,7,3042,4396,5,7,49781,20452,27848,59897,26381,32875,54995,20801,33096,4522,14412,10051,5566,22526,10314,2322,1126
99100,66676,10582,6432,14837,940,101,99108,62896,11110,7499,16291,851,104,78661,54633,7436,4729,11247,679,70,74511,51668,6962,4961,10319,250,25,4107,9618,36,25,47013,22163,23465,58149,29000,28433,54033,22990,29819,3379,14767,10542,5321,20888,11118,2666,1573
99753,59312,11251,7098,21682,950,99,101961,58466,13526,8549,21918,533,232,81315,51382,8180,5534,15784,691,75,76189,51228,7747,4698,12151,189,5,4336,12007,26,5,46224,22860,22187,55156,28867,25713,57067,26491,29206,4564,20322,12317,4660,20805,9639,1585,801
100777,63666,16814,10898,9102,1471,119,101014,59995,20107,11549,9043,1469,112,80819,54199,11491,8062,6614,1083,84,72211,51933,8789,6879,4262,313,40,6361,3926,7,40,47914,23663,22348,55732,30010,24943,48188,24730,22526,5324,20877,12555,6235,18641,8210,1043,834
